"Year","TA","Region","GDP","GDP_real","GDP_perCapita","GDP_real_perCapita","notes"
2006,"Western Bay of Plenty District","Bay of Plenty",211690837.657482,250887780.070564,4923042736.22051,5834599536.52475,"estimate"
2006,"Westland District","West Coast",74032430.7277,86297894.2108903,8588449040.33643,10011356636.9942,"estimate"
2006,"Whakatane District","Bay of Plenty",281725026.205842,328949688.534233,8165942788.57512,9534773580.70241,"estimate"
2006,"Whangarei District","Northland",771189331.463527,891196869.940375,10080906293.6409,11649632286.8023,"estimate"
2007,"Ashburton District","Canterbury",322466307.291559,368713241.078769,11275045709.4951,12892071366.3905,"estimate"
2007,"Auckland","Auckland",20391687170.2829,23042946499.0861,14666058091.4002,16572890174.8318,"estimate"
2007,"Buller District","West Coast",104800453.982774,120283286.105628,10427905868.9327,11968486179.6645,"estimate"
2007,"Carterton District","Wellington",53922299.6806186,61421997.136261,7296657602.24879,8311501642.25453,"estimate"
2007,"Central Hawke's Bay District","Hawke's Bay",123941529.125311,142368571.628688,9354077669.83476,10744797858.7689,"estimate"
2007,"Central Otago District","Otago",186652400.989227,215160179.669377,10758063457.5923,12401163093.3358,"estimate"
2007,"Christchurch City","Canterbury",5273354345.43705,5957758540.06818,14423835736.9722,16295838457.5169,"estimate"
2007,"Clutha District","Otago",177899758.768502,203330879.881765,10343009230.7269,11821562783.8235,"estimate"
2007,"Dunedin City","Otago",1417661823.58911,1607326793.36599,11629711432.2322,13185617665.0205,"estimate"
2007,"Far North District","Northland",437435345.996112,497218645.196868,7529007676.35305,8557980123.87037,"estimate"
2007,"Gisborne District","Gisborne",447200840.547828,511219346.732523,9742937702.56705,11137676399.4014,"estimate"
2007,"Gore District","Southland",152520010.87587,172849209.165384,12400000884.2171,14052781232.9581,"estimate"
2007,"Grey District","West Coast",167811598.985733,190859726.667399,12339088160.7157,14033803431.4264,"estimate"
2007,"Hamilton City","Waikato",2139295143.38515,2416708852.19256,15626699367.313,17653096071.5307,"estimate"
2007,"Hastings District","Hawke's Bay",975704938.003165,1114497287.17826,13238872971.549,15122079880.3021,"estimate"
2007,"Hauraki District","Waikato",103766244.431403,119669716.00296,5654836208.79581,6521510408.88064,"estimate"
2007,"Horowhenua District","Manawatu-Wanganui",165088706.66203,188600347.630005,5395055773.26894,6163410053.26813,"estimate"
2007,"Hurunui District","Canterbury",63106826.1046068,73736369.9224023,5843224639.31545,6827441659.48169,"estimate"
2007,"Invercargill City","Southland",624566920.428267,705548917.700405,12080598074.0477,13646981000.0078,"estimate"
2007,"Kaikoura District","Canterbury",32764460.8119756,37392686.4771002,8784037751.1999,10024848921.4746,"estimate"
2007,"Kaipara District","Northland",114717945.623288,131405561.061058,6102018384.21743,6989657503.24779,"estimate"
2007,"Kapiti Coast District","Wellington",180195453.329533,204220279.957675,3746267220.98822,4245743866.06394,"estimate"
2007,"Kawerau District","Bay of Plenty",107921986.775488,117273965.8743,15286400393.1286,16611043324.9716,"estimate"
2007,"Lower Hutt City","Wellington",1137079425.27313,1286352498.1449,11224870930.633,12698445193.9279,"estimate"
2007,"Mackenzie District","Canterbury",34927063.4518017,40397986.6707212,8842294544.75992,10227338397.6509,"estimate"
2007,"Manawatu District","Manawatu-Wanganui",179918464.301524,204659378.131303,6688418747.26855,7608155320.8663,"estimate"
2007,"Marlborough District","Marlborough",493390430.118624,562146419.023624,11264621692.206,12834393128.3932,"estimate"
2007,"Masterton District","Wellington",224248598.013491,254902100.240991,9665887845.40909,10987159493.1462,"estimate"
2007,"Matamata-Piako District","Waikato",330903542.771704,379425728.316496,10571998171.6199,12122227741.7411,"estimate"
2007,"Napier City","Hawke's Bay",579799779.927715,655689945.184528,10136359788.9461,11463110929.7994,"estimate"
2007,"Nelson City","Nelson",634267561.397117,716548007.907394,14189430903.7386,16030156776.4518,"estimate"
2007,"New Plymouth District","Taranaki",890705185.195547,1011346369.2299,12422666460.1889,14105249222.1744,"estimate"
2007,"Opotiki District","Bay of Plenty",56304292.4237211,65002468.6225783,6146756814.81671,7096339369.27711,"estimate"
2007,"Otorohanga District","Waikato",76547724.5507419,88491159.8738424,8248677214.5196,9535685331.23302,"estimate"
2007,"Palmerston North City","Manawatu-Wanganui",1288936320.43945,1460107699.75261,15952182183.6565,18070639848.4234,"estimate"
2007,"Porirua City","Wellington",364014343.504288,411905508.139978,7165636683.15527,8108376144.48775,"estimate"
2007,"Queenstown-Lakes District","Otago",349231354.743606,394517428.51112,13749265934.7876,15532182224.8472,"estimate"
2007,"Rangitikei District","Hawke's Bay",15677741.2972173,18006250.1075566,1045182753.14782,1200416673.8371,"estimate"
2007,"Rangitikei District","Manawatu-Wanganui",99345528.0431088,114076479.077375,6623035202.87392,7605098605.15834,"estimate"
2007,"Rotorua District","Bay of Plenty",480952993.910803,542904493.037955,7083254696.77177,7995647909.24823,"estimate"
2007,"Rotorua District","Waikato",300825245.02933,339777791.395535,4430415979.81341,5004091184.02849,"estimate"
2007,"Ruapehu District","Manawatu-Wanganui",144059552.969931,163513770.281459,10515295837.2213,11935311699.3766,"estimate"
2007,"Selwyn District","Canterbury",277779550.396029,318811837.494162,7568925078.91088,8686971048.88726,"estimate"
2007,"South Taranaki District","Taranaki",358898093.186897,408119044.342813,13341936549.6988,15171711685.6064,"estimate"
2007,"South Waikato District","Waikato",213838973.09182,240632982.601813,9297346656.16607,10462303591.3832,"estimate"
2007,"South Wairarapa District","Wellington",48895184.7323747,56652307.2628868,5320477119.95372,6164560093.8941,"estimate"
2007,"Southland District","Southland",346357594.84049,396768590.211552,11861561467.1401,13587965418.2038,"estimate"
2007,"Stratford District","Manawatu-Wanganui",18641159.4179463,21505502.3064227,2050732609.23502,2365841837.89029,"estimate"
2007,"Stratford District","Taranaki",39848203.8654647,45798596.9789034,4383740799.28104,5038349502.62963,"estimate"
2007,"Tararua District","Manawatu-Wanganui",140193984.762624,161282935.418144,7810249847.49997,8985121750.31443,"estimate"
2007,"Tararua District","Wellington",2250546.68515575,2593496.7000215,125378645.412576,144484495.822925,"estimate"
2007,"Tasman District","Tasman",351165875.492729,401566126.220296,7600992976.0331,8691907493.9458,"estimate"
2007,"Taupo District","Bay of Plenty",47840211.0805708,54086567.8340698,1428066002.4051,1614524412.95731,"estimate"
2007,"Taupo District","Hawke's Bay",37643209.5299624,42595617.6495221,1123677896.41679,1271510974.6126,"estimate"
2007,"Taupo District","Manawatu-Wanganui",2306677.60978185,2608681.87761749,68856048.0531895,77871100.8244026,"estimate"
2007,"Taupo District","Waikato",246518294.099061,279011804.422007,7358755047.73315,8328710579.76141,"estimate"
2007,"Tauranga City","Bay of Plenty",1242931559.47786,1403853987.38253,11371743453.5944,12844043800.3891,"estimate"
2007,"Thames-Coromandel District","Waikato",213049683.027864,240812760.140975,7949615038.35312,8985550751.52893,"estimate"
2007,"Timaru District","Canterbury",488045228.053214,552522651.511262,11091937001.2094,12557332988.8923,"estimate"
