Measure,Industry,Region,Quarter,Value,Flags
"Total earnings","Agriculture, forestry, and fishing","Hawke's Bay","Dec-11",65098500,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Dec-11",155964900,
"Total earnings","Agriculture, forestry, and fishing","Bay of Plenty","Dec-11",72526700,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-11",37401500,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Dec-11",47666500,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Sep-11",40558500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-11",34011700,
"Total earnings","Agriculture, forestry, and fishing","Bay of Plenty","Sep-11",75728600,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Sep-11",131863900,
"Total earnings","Agriculture, forestry, and fishing","Hawke's Bay","Sep-11",55792300,
"Total earnings","Agriculture, forestry, and fishing","Hawke's Bay","Jun-11",68917200,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Jun-11",122460400,
"Total earnings","Agriculture, forestry, and fishing","Bay of Plenty","Jun-11",68820900,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-11",32622300,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Jun-11",41793900,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Mar-11",43333400,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-11",32293600,
"Total earnings","Agriculture, forestry, and fishing","Bay of Plenty","Mar-11",75164800,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Mar-11",131386600,
"Total earnings","Agriculture, forestry, and fishing","Hawke's Bay","Mar-11",75198500,
"Total earnings","Agriculture, forestry, and fishing","Hawke's Bay","Dec-10",64989900,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Dec-10",144922400,
"Total earnings","Agriculture, forestry, and fishing","Bay of Plenty","Dec-10",77038800,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-10",34707300,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Dec-10",47386900,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Sep-10",38397800,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-10",29755900,
"Total earnings","Agriculture, forestry, and fishing","Bay of Plenty","Sep-10",71817700,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Sep-10",123270400,
"Total earnings","Agriculture, forestry, and fishing","Hawke's Bay","Sep-10",55230700,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Sep-10",24735900,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Jun-10",23811200,
"Total earnings","Agriculture, forestry, and fishing","Hawke's Bay","Jun-10",67727200,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Jun-10",114959600,
"Total earnings","Agriculture, forestry, and fishing","Bay of Plenty","Jun-10",63493000,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-10",28419800,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Jun-10",39178000,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-10",29220600,
"Total earnings","Agriculture, forestry, and fishing","Auckland","Mar-10",47546200,
"Total earnings","Agriculture, forestry, and fishing","Waikato","Mar-10",124281700,
"Total earnings","Agriculture, forestry, and fishing","Bay of Plenty","Mar-10",68785800,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Mar-10",28007500,
"Total earnings","Agriculture, forestry, and fishing","Hawke's Bay","Mar-10",75895200,
"Total earnings","Agriculture, forestry, and fishing","Bay of Plenty","Dec-09",73451800,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Dec-09",28027900,
"Total earnings","Agriculture, forestry, and fishing","Hawke's Bay","Dec-09",64870600,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Dec-09",29077100,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Sep-09",24508900,
"Total earnings","Agriculture, forestry, and fishing","Hawke's Bay","Sep-09",56075700,
"Total earnings","Agriculture, forestry, and fishing","Bay of Plenty","Sep-09",66990700,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Sep-09",25585200,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Jun-09",24765100,
"Total earnings","Agriculture, forestry, and fishing","Bay of Plenty","Jun-09",62456300,
"Total earnings","Agriculture, forestry, and fishing","Hawke's Bay","Jun-09",71052600,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Jun-09",24821600,
"Total earnings","Agriculture, forestry, and fishing","Taranaki","Mar-09",26306700,
"Total earnings","Agriculture, forestry, and fishing","Bay of Plenty","Mar-09",67304400,
"Total earnings","Agriculture, forestry, and fishing","Hawke's Bay","Mar-09",77725400,
"Total earnings","Agriculture, forestry, and fishing","Gisborne","Mar-09",27314700,
