Measure,Industry,Region,Quarter,Value,Flags
"Total earnings","Transport, storage, information media, and telecommunications","Taranaki","Dec-12",38129600,
"Total earnings","Transport, storage, information media, and telecommunications","Southland","Dec-12",33758000,
"Total earnings","Transport, storage, information media, and telecommunications","Canterbury","Dec-12",213962300,
"Total earnings","Transport, storage, information media, and telecommunications","Hawke's Bay","Dec-12",35106900,
"Total earnings","Transport, storage, information media, and telecommunications","Otago","Dec-12",57697900,
"Total earnings","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Dec-12",52525000,
"Total earnings","Financial and insurance services","Bay of Plenty","Dec-12",43970400,
"Total earnings","Financial and insurance services","Waikato","Dec-12",47115300,
"Total earnings","Financial and insurance services","Auckland","Dec-12",675788600,
"Total earnings","Financial and insurance services","Northland","Dec-12",14812500,
"Total earnings","Financial and insurance services","Southland","Dec-12",14443900,
"Total earnings","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Dec-12",19230600,
"Total earnings","Financial and insurance services","Otago","Dec-12",29259500,
"Total earnings","Financial and insurance services","Gisborne","Dec-12",3964900,
"Total earnings","Financial and insurance services","Taranaki","Dec-12",14121800,
"Total earnings","Financial and insurance services","Canterbury","Dec-12",99534000,
"Total earnings","Financial and insurance services","Wellington","Dec-12",260660300,
"Total earnings","Financial and insurance services","Manawatu-Wanganui","Dec-12",24609900,
"Total earnings","Financial and insurance services","Hawke's Bay","Dec-12",17925600,
"Total earnings","Rental, hiring, and real estate services","Gisborne","Dec-12",1494000,
"Total earnings","Rental, hiring, and real estate services","Bay of Plenty","Dec-12",14133300,
"Total earnings","Rental, hiring, and real estate services","Hawke's Bay","Dec-12",10023700,
"Total earnings","Rental, hiring, and real estate services","Waikato","Dec-12",19520500,
"Total earnings","Rental, hiring, and real estate services","Northland","Dec-12",7157400,
"Total earnings","Rental, hiring, and real estate services","Auckland","Dec-12",146395600,
"Total earnings","Rental, hiring, and real estate services","Canterbury","Dec-12",43945500,
"Total earnings","Rental, hiring, and real estate services","Canterbury","Sep-12",41662000,
"Total earnings","Rental, hiring, and real estate services","Auckland","Sep-12",142460600,
"Total earnings","Rental, hiring, and real estate services","Northland","Sep-12",7043600,
"Total earnings","Rental, hiring, and real estate services","Waikato","Sep-12",19858500,
"Total earnings","Rental, hiring, and real estate services","Hawke's Bay","Sep-12",9838300,
"Total earnings","Rental, hiring, and real estate services","Bay of Plenty","Sep-12",13501100,
"Total earnings","Rental, hiring, and real estate services","Gisborne","Sep-12",1394100,
"Total earnings","Financial and insurance services","Hawke's Bay","Sep-12",17306700,
"Total earnings","Financial and insurance services","Manawatu-Wanganui","Sep-12",22304100,
"Total earnings","Financial and insurance services","Wellington","Sep-12",214468500,
"Total earnings","Financial and insurance services","Canterbury","Sep-12",94854300,
"Total earnings","Financial and insurance services","Taranaki","Sep-12",11253300,
"Total earnings","Financial and insurance services","Gisborne","Sep-12",3279200,
"Total earnings","Financial and insurance services","Otago","Sep-12",27727100,
"Total earnings","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Sep-12",17371900,
"Total earnings","Financial and insurance services","Southland","Sep-12",13797500,
"Total earnings","Financial and insurance services","Northland","Sep-12",12302800,
"Total earnings","Financial and insurance services","Auckland","Sep-12",633084200,
"Total earnings","Financial and insurance services","Waikato","Sep-12",45527600,
"Total earnings","Financial and insurance services","Bay of Plenty","Sep-12",29846100,
"Total earnings","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Sep-12",50432700,
"Total earnings","Transport, storage, information media, and telecommunications","Otago","Sep-12",55328500,
"Total earnings","Transport, storage, information media, and telecommunications","Hawke's Bay","Sep-12",32905000,
"Total earnings","Transport, storage, information media, and telecommunications","Canterbury","Sep-12",215215300,
"Total earnings","Transport, storage, information media, and telecommunications","Southland","Sep-12",31267700,
"Total earnings","Transport, storage, information media, and telecommunications","Taranaki","Sep-12",34816400,
"Total earnings","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Sep-12",48635200,
"Total earnings","Transport, storage, information media, and telecommunications","Wellington","Sep-12",272292200,
"Total earnings","Transport, storage, information media, and telecommunications","Bay of Plenty","Sep-12",80804300,
"Total earnings","Transport, storage, information media, and telecommunications","Northland","Sep-12",27017600,
"Total earnings","Transport, storage, information media, and telecommunications","Gisborne","Sep-12",7688200,
"Total earnings","Transport, storage, information media, and telecommunications","Auckland","Sep-12",873592100,
"Total earnings","Transport, storage, information media, and telecommunications","Waikato","Sep-12",82588000,
"Total earnings","Accommodation and food services","Auckland","Sep-12",262619100,
"Total earnings","Accommodation and food services","Otago","Sep-12",70452900,
"Total earnings","Accommodation and food services","Southland","Sep-12",14876800,
"Total earnings","Accommodation and food services","Northland","Sep-12",16841700,
"Total earnings","Accommodation and food services","Bay of Plenty","Sep-12",41562600,
"Total earnings","Accommodation and food services","Waikato","Sep-12",53776600,
"Total earnings","Accommodation and food services","Gisborne","Sep-12",4868200,
"Total earnings","Accommodation and food services","Manawatu-Wanganui","Sep-12",30824700,
"Total earnings","Accommodation and food services","Hawke's Bay","Sep-12",19466000,
"Total earnings","Accommodation and food services","Taranaki","Sep-12",15007000,
"Total earnings","Accommodation and food services","Wellington","Sep-12",94407600,
"Total earnings","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Sep-12",29106000,
"Total earnings","Accommodation and food services","Canterbury","Sep-12",89047500,
"Total earnings","Retail trade","Otago","Sep-12",80407300,
"Total earnings","Retail trade","Southland","Sep-12",33947800,
"Total earnings","Retail trade","Tasman, Nelson, Marlborough, West Coast","Sep-12",62297700,
"Total earnings","Retail trade","Canterbury","Sep-12",206425200,
"Total earnings","Retail trade","Auckland","Sep-12",521184700,
"Total earnings","Retail trade","Bay of Plenty","Sep-12",89591200,
"Total earnings","Retail trade","Northland","Sep-12",46399600,
"Total earnings","Retail trade","Hawke's Bay","Sep-12",49006300,
"Total earnings","Retail trade","Waikato","Sep-12",130071600,
"Total earnings","Retail trade","Waikato","Jun-12",127780500,
"Total earnings","Retail trade","Hawke's Bay","Jun-12",48990000,
"Total earnings","Retail trade","Northland","Jun-12",45823400,
"Total earnings","Retail trade","Bay of Plenty","Jun-12",89437500,
"Total earnings","Retail trade","Auckland","Jun-12",511459500,
"Total earnings","Retail trade","Canterbury","Jun-12",199832600,
"Total earnings","Retail trade","Tasman, Nelson, Marlborough, West Coast","Jun-12",62017100,
"Total earnings","Retail trade","Southland","Jun-12",33705500,
"Total earnings","Retail trade","Otago","Jun-12",77917000,
"Total earnings","Accommodation and food services","Canterbury","Jun-12",86446600,
"Total earnings","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Jun-12",31232600,
"Total earnings","Accommodation and food services","Wellington","Jun-12",96259400,
"Total earnings","Accommodation and food services","Taranaki","Jun-12",14669000,
"Total earnings","Accommodation and food services","Hawke's Bay","Jun-12",19971700,
"Total earnings","Accommodation and food services","Manawatu-Wanganui","Jun-12",28398500,
"Total earnings","Accommodation and food services","Gisborne","Jun-12",4733100,
"Total earnings","Accommodation and food services","Waikato","Jun-12",53553000,
"Total earnings","Accommodation and food services","Bay of Plenty","Jun-12",42053300,
"Total earnings","Accommodation and food services","Northland","Jun-12",17378300,
"Total earnings","Accommodation and food services","Southland","Jun-12",14774900,
"Total earnings","Accommodation and food services","Otago","Jun-12",68376800,
"Total earnings","Accommodation and food services","Auckland","Jun-12",262788600,
"Total earnings","Transport, storage, information media, and telecommunications","Waikato","Jun-12",77555800,
"Total earnings","Transport, storage, information media, and telecommunications","Auckland","Jun-12",815556400,
"Total earnings","Transport, storage, information media, and telecommunications","Gisborne","Jun-12",7601000,
"Total earnings","Transport, storage, information media, and telecommunications","Northland","Jun-12",27162000,
"Total earnings","Transport, storage, information media, and telecommunications","Bay of Plenty","Jun-12",84886100,
"Total earnings","Transport, storage, information media, and telecommunications","Wellington","Jun-12",236865200,
"Total earnings","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Jun-12",46380700,
"Total earnings","Transport, storage, information media, and telecommunications","Taranaki","Jun-12",34372900,
"Total earnings","Transport, storage, information media, and telecommunications","Southland","Jun-12",33099500,
"Total earnings","Transport, storage, information media, and telecommunications","Canterbury","Jun-12",200405500,
"Total earnings","Transport, storage, information media, and telecommunications","Hawke's Bay","Jun-12",33738400,
"Total earnings","Transport, storage, information media, and telecommunications","Otago","Jun-12",53495400,
"Total earnings","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Jun-12",50182600,
"Total earnings","Financial and insurance services","Bay of Plenty","Jun-12",29095200,
"Total earnings","Financial and insurance services","Waikato","Jun-12",43376600,
"Total earnings","Financial and insurance services","Auckland","Jun-12",590793500,
"Total earnings","Financial and insurance services","Northland","Jun-12",12019100,
"Total earnings","Financial and insurance services","Southland","Jun-12",13412800,
"Total earnings","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Jun-12",16852600,
"Total earnings","Financial and insurance services","Otago","Jun-12",25702100,
"Total earnings","Financial and insurance services","Gisborne","Jun-12",3227400,
"Total earnings","Financial and insurance services","Taranaki","Jun-12",11175900,
"Total earnings","Financial and insurance services","Canterbury","Jun-12",97415000,
"Total earnings","Financial and insurance services","Wellington","Jun-12",207867700,
"Total earnings","Financial and insurance services","Manawatu-Wanganui","Jun-12",22666700,
"Total earnings","Financial and insurance services","Hawke's Bay","Jun-12",16995700,
"Total earnings","Rental, hiring, and real estate services","Gisborne","Jun-12",1485000,
"Total earnings","Rental, hiring, and real estate services","Bay of Plenty","Jun-12",13489400,
"Total earnings","Rental, hiring, and real estate services","Hawke's Bay","Jun-12",9785900,
"Total earnings","Rental, hiring, and real estate services","Waikato","Jun-12",18406500,
"Total earnings","Rental, hiring, and real estate services","Northland","Jun-12",6756700,
"Total earnings","Rental, hiring, and real estate services","Auckland","Jun-12",140095700,
"Total earnings","Rental, hiring, and real estate services","Canterbury","Jun-12",40718800,
"Total earnings","Rental, hiring, and real estate services","Canterbury","Mar-12",40016900,
"Total earnings","Rental, hiring, and real estate services","Auckland","Mar-12",137641200,
"Total earnings","Rental, hiring, and real estate services","Northland","Mar-12",6744300,
"Total earnings","Rental, hiring, and real estate services","Waikato","Mar-12",18352900,
"Total earnings","Rental, hiring, and real estate services","Hawke's Bay","Mar-12",9540000,
"Total earnings","Rental, hiring, and real estate services","Bay of Plenty","Mar-12",13987300,
"Total earnings","Rental, hiring, and real estate services","Gisborne","Mar-12",1439800,
"Total earnings","Financial and insurance services","Hawke's Bay","Mar-12",16008400,
"Total earnings","Financial and insurance services","Manawatu-Wanganui","Mar-12",20409400,
"Total earnings","Financial and insurance services","Wellington","Mar-12",205802200,
"Total earnings","Financial and insurance services","Canterbury","Mar-12",96258300,
"Total earnings","Financial and insurance services","Taranaki","Mar-12",10009300,
"Total earnings","Financial and insurance services","Gisborne","Mar-12",3055600,
"Total earnings","Financial and insurance services","Otago","Mar-12",25817700,
"Total earnings","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Mar-12",17530700,
"Total earnings","Financial and insurance services","Southland","Mar-12",12501500,
"Total earnings","Financial and insurance services","Northland","Mar-12",12106100,
"Total earnings","Financial and insurance services","Auckland","Mar-12",581243900,
"Total earnings","Financial and insurance services","Waikato","Mar-12",42175900,
"Total earnings","Financial and insurance services","Bay of Plenty","Mar-12",27985800,
"Total earnings","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Mar-12",51248100,
"Total earnings","Transport, storage, information media, and telecommunications","Otago","Mar-12",54254100,
"Total earnings","Transport, storage, information media, and telecommunications","Hawke's Bay","Mar-12",32009600,
"Total earnings","Transport, storage, information media, and telecommunications","Canterbury","Mar-12",208232500,
"Total earnings","Transport, storage, information media, and telecommunications","Southland","Mar-12",32437000,
"Total earnings","Transport, storage, information media, and telecommunications","Taranaki","Mar-12",35242600,
"Total earnings","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Mar-12",47549800,
"Total earnings","Transport, storage, information media, and telecommunications","Wellington","Mar-12",237758600,
"Total earnings","Transport, storage, information media, and telecommunications","Bay of Plenty","Mar-12",75078500,
"Total earnings","Transport, storage, information media, and telecommunications","Northland","Mar-12",25867200,
"Total earnings","Transport, storage, information media, and telecommunications","Gisborne","Mar-12",7751300,
"Total earnings","Transport, storage, information media, and telecommunications","Auckland","Mar-12",797085800,
"Total earnings","Transport, storage, information media, and telecommunications","Waikato","Mar-12",80017200,
"Total earnings","Accommodation and food services","Otago","Mar-12",72439800,
"Total earnings","Accommodation and food services","Southland","Mar-12",16593000,
"Total earnings","Accommodation and food services","Northland","Mar-12",21205100,
"Total earnings","Accommodation and food services","Bay of Plenty","Mar-12",46354500,
"Total earnings","Accommodation and food services","Auckland","Mar-12",262623400,
"Total earnings","Accommodation and food services","Waikato","Mar-12",57481800,
"Total earnings","Accommodation and food services","Gisborne","Mar-12",5802600,
"Total earnings","Accommodation and food services","Manawatu-Wanganui","Mar-12",29984400,
"Total earnings","Accommodation and food services","Hawke's Bay","Mar-12",21297500,
"Total earnings","Accommodation and food services","Taranaki","Mar-12",16854700,
"Total earnings","Accommodation and food services","Wellington","Mar-12",96706100,
"Total earnings","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Mar-12",38612500,
"Total earnings","Accommodation and food services","Canterbury","Mar-12",90373300,
"Total earnings","Retail trade","Otago","Mar-12",79852600,
"Total earnings","Retail trade","Southland","Mar-12",34378600,
"Total earnings","Retail trade","Tasman, Nelson, Marlborough, West Coast","Mar-12",64733600,
"Total earnings","Retail trade","Canterbury","Mar-12",202528100,
"Total earnings","Retail trade","Auckland","Mar-12",507209200,
"Total earnings","Retail trade","Bay of Plenty","Mar-12",91407500,
"Total earnings","Retail trade","Northland","Mar-12",48197200,
"Total earnings","Retail trade","Hawke's Bay","Mar-12",50331600,
"Total earnings","Retail trade","Waikato","Mar-12",132413100,
"Total earnings","Retail trade","Waikato","Dec-11",132660100,
"Total earnings","Retail trade","Hawke's Bay","Dec-11",50308100,
"Total earnings","Retail trade","Northland","Dec-11",48020600,
"Total earnings","Retail trade","Bay of Plenty","Dec-11",91299000,
"Total earnings","Retail trade","Auckland","Dec-11",508448700,
"Total earnings","Retail trade","Canterbury","Dec-11",202046500,
"Total earnings","Retail trade","Tasman, Nelson, Marlborough, West Coast","Dec-11",64131800,
"Total earnings","Retail trade","Otago","Dec-11",79338600,
"Total earnings","Retail trade","Southland","Dec-11",35265100,
"Total earnings","Accommodation and food services","Canterbury","Dec-11",90240600,
"Total earnings","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Dec-11",32943000,
"Total earnings","Accommodation and food services","Wellington","Dec-11",95273100,
"Total earnings","Accommodation and food services","Taranaki","Dec-11",16573900,
"Total earnings","Accommodation and food services","Hawke's Bay","Dec-11",20551800,
"Total earnings","Accommodation and food services","Manawatu-Wanganui","Dec-11",30657200,
"Total earnings","Accommodation and food services","Gisborne","Dec-11",4969900,
"Total earnings","Accommodation and food services","Waikato","Dec-11",56692500,
"Total earnings","Accommodation and food services","Auckland","Dec-11",267258100,
"Total earnings","Accommodation and food services","Bay of Plenty","Dec-11",43098200,
"Total earnings","Accommodation and food services","Northland","Dec-11",18824000,
"Total earnings","Accommodation and food services","Southland","Dec-11",15522600,
"Total earnings","Accommodation and food services","Otago","Dec-11",67411700,
"Total earnings","Transport, storage, information media, and telecommunications","Waikato","Dec-11",85239600,
"Total earnings","Transport, storage, information media, and telecommunications","Auckland","Dec-11",770755500,
"Total earnings","Transport, storage, information media, and telecommunications","Gisborne","Dec-11",7695000,
"Total earnings","Transport, storage, information media, and telecommunications","Northland","Dec-11",27766100,
"Total earnings","Transport, storage, information media, and telecommunications","Bay of Plenty","Dec-11",75325900,
"Total earnings","Transport, storage, information media, and telecommunications","Wellington","Dec-11",235467000,
"Total earnings","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Dec-11",45954800,
"Total earnings","Transport, storage, information media, and telecommunications","Taranaki","Dec-11",34460400,
"Total earnings","Transport, storage, information media, and telecommunications","Southland","Dec-11",32305200,
"Total earnings","Transport, storage, information media, and telecommunications","Canterbury","Dec-11",215569800,
"Total earnings","Transport, storage, information media, and telecommunications","Hawke's Bay","Dec-11",33115100,
"Total earnings","Transport, storage, information media, and telecommunications","Otago","Dec-11",54104400,
"Total earnings","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Dec-11",51568200,
"Total earnings","Financial and insurance services","Bay of Plenty","Dec-11",33913000,
"Total earnings","Financial and insurance services","Waikato","Dec-11",48523600,
"Total earnings","Financial and insurance services","Auckland","Dec-11",637785400,
"Total earnings","Financial and insurance services","Northland","Dec-11",13582500,
"Total earnings","Financial and insurance services","Southland","Dec-11",15085500,
"Total earnings","Financial and insurance services","Otago","Dec-11",29956600,
"Total earnings","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Dec-11",19038300,
"Total earnings","Financial and insurance services","Gisborne","Dec-11",3446900,
"Total earnings","Financial and insurance services","Taranaki","Dec-11",12547200,
"Total earnings","Financial and insurance services","Canterbury","Dec-11",109535500,
"Total earnings","Financial and insurance services","Wellington","Dec-11",235851700,
"Total earnings","Financial and insurance services","Manawatu-Wanganui","Dec-11",23780400,
"Total earnings","Financial and insurance services","Hawke's Bay","Dec-11",17457200,
"Total earnings","Rental, hiring, and real estate services","Gisborne","Dec-11",1609100,
"Total earnings","Rental, hiring, and real estate services","Bay of Plenty","Dec-11",13790200,
"Total earnings","Rental, hiring, and real estate services","Hawke's Bay","Dec-11",9508900,
"Total earnings","Rental, hiring, and real estate services","Waikato","Dec-11",18392000,
"Total earnings","Rental, hiring, and real estate services","Northland","Dec-11",7376800,
"Total earnings","Rental, hiring, and real estate services","Auckland","Dec-11",135649700,
"Total earnings","Rental, hiring, and real estate services","Canterbury","Dec-11",39014300,
"Total earnings","Rental, hiring, and real estate services","Canterbury","Sep-11",36411800,
"Total earnings","Rental, hiring, and real estate services","Auckland","Sep-11",131776500,
"Total earnings","Rental, hiring, and real estate services","Northland","Sep-11",7421600,
"Total earnings","Rental, hiring, and real estate services","Waikato","Sep-11",17777800,
"Total earnings","Rental, hiring, and real estate services","Bay of Plenty","Sep-11",13073700,
"Total earnings","Rental, hiring, and real estate services","Hawke's Bay","Sep-11",9332500,
"Total earnings","Rental, hiring, and real estate services","Gisborne","Sep-11",1420500,
"Total earnings","Financial and insurance services","Hawke's Bay","Sep-11",15549200,
"Total earnings","Financial and insurance services","Manawatu-Wanganui","Sep-11",20511800,
"Total earnings","Financial and insurance services","Wellington","Sep-11",204116900,
"Total earnings","Financial and insurance services","Canterbury","Sep-11",94321700,
"Total earnings","Financial and insurance services","Taranaki","Sep-11",10737900,
"Total earnings","Financial and insurance services","Gisborne","Sep-11",3034400,
"Total earnings","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Sep-11",16701200,
"Total earnings","Financial and insurance services","Otago","Sep-11",25847000,
"Total earnings","Financial and insurance services","Southland","Sep-11",14059100,
"Total earnings","Financial and insurance services","Northland","Sep-11",13810400,
"Total earnings","Financial and insurance services","Auckland","Sep-11",578484400,
"Total earnings","Financial and insurance services","Waikato","Sep-11",44785100,
"Total earnings","Financial and insurance services","Bay of Plenty","Sep-11",30359100,
"Total earnings","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Sep-11",51224400,
"Total earnings","Transport, storage, information media, and telecommunications","Hawke's Bay","Sep-11",31279200,
"Total earnings","Transport, storage, information media, and telecommunications","Otago","Sep-11",52717600,
"Total earnings","Transport, storage, information media, and telecommunications","Canterbury","Sep-11",231616000,
"Total earnings","Transport, storage, information media, and telecommunications","Southland","Sep-11",30456000,
"Total earnings","Transport, storage, information media, and telecommunications","Taranaki","Sep-11",33998100,
"Total earnings","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Sep-11",46345900,
"Total earnings","Transport, storage, information media, and telecommunications","Wellington","Sep-11",260909700,
"Total earnings","Transport, storage, information media, and telecommunications","Bay of Plenty","Sep-11",73928400,
"Total earnings","Transport, storage, information media, and telecommunications","Northland","Sep-11",26369800,
"Total earnings","Transport, storage, information media, and telecommunications","Gisborne","Sep-11",7742500,
"Total earnings","Transport, storage, information media, and telecommunications","Auckland","Sep-11",823335200,
"Total earnings","Transport, storage, information media, and telecommunications","Waikato","Sep-11",90629700,
"Total earnings","Accommodation and food services","Otago","Sep-11",65307000,
"Total earnings","Accommodation and food services","Southland","Sep-11",13701200,
"Total earnings","Accommodation and food services","Northland","Sep-11",16719300,
"Total earnings","Accommodation and food services","Bay of Plenty","Sep-11",38764200,
"Total earnings","Accommodation and food services","Auckland","Sep-11",248868400,
"Total earnings","Accommodation and food services","Waikato","Sep-11",53453900,
"Total earnings","Accommodation and food services","Gisborne","Sep-11",4574400,
"Total earnings","Accommodation and food services","Manawatu-Wanganui","Sep-11",30554300,
"Total earnings","Accommodation and food services","Hawke's Bay","Sep-11",18321400,
"Total earnings","Accommodation and food services","Taranaki","Sep-11",15955400,
"Total earnings","Accommodation and food services","Wellington","Sep-11",89623300,
"Total earnings","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Sep-11",27757000,
"Total earnings","Accommodation and food services","Canterbury","Sep-11",83710200,
"Total earnings","Retail trade","Southland","Sep-11",32844700,
"Total earnings","Retail trade","Otago","Sep-11",75546100,
"Total earnings","Retail trade","Tasman, Nelson, Marlborough, West Coast","Sep-11",61581500,
"Total earnings","Retail trade","Canterbury","Sep-11",188781800,
"Total earnings","Retail trade","Auckland","Sep-11",486095900,
"Total earnings","Retail trade","Bay of Plenty","Sep-11",86767600,
"Total earnings","Retail trade","Northland","Sep-11",45549600,
"Total earnings","Retail trade","Hawke's Bay","Sep-11",48899400,
"Total earnings","Retail trade","Waikato","Sep-11",125583600,
"Total earnings","Retail trade","Waikato","Jun-11",124503800,
"Total earnings","Retail trade","Hawke's Bay","Jun-11",48715200,
"Total earnings","Retail trade","Northland","Jun-11",44324800,
"Total earnings","Retail trade","Bay of Plenty","Jun-11",87356700,
"Total earnings","Retail trade","Auckland","Jun-11",474356300,
"Total earnings","Retail trade","Canterbury","Jun-11",192230600,
"Total earnings","Retail trade","Tasman, Nelson, Marlborough, West Coast","Jun-11",60607800,
"Total earnings","Retail trade","Otago","Jun-11",74277800,
"Total earnings","Retail trade","Southland","Jun-11",32992200,
"Total earnings","Accommodation and food services","Canterbury","Jun-11",89018500,
"Total earnings","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Jun-11",30572800,
"Total earnings","Accommodation and food services","Wellington","Jun-11",87592200,
"Total earnings","Accommodation and food services","Taranaki","Jun-11",15589800,
"Total earnings","Accommodation and food services","Hawke's Bay","Jun-11",19318300,
"Total earnings","Accommodation and food services","Manawatu-Wanganui","Jun-11",29169400,
"Total earnings","Accommodation and food services","Gisborne","Jun-11",4633600,
"Total earnings","Accommodation and food services","Waikato","Jun-11",53572000,
"Total earnings","Accommodation and food services","Auckland","Jun-11",241036200,
"Total earnings","Accommodation and food services","Bay of Plenty","Jun-11",40310300,
"Total earnings","Accommodation and food services","Northland","Jun-11",17341900,
"Total earnings","Accommodation and food services","Southland","Jun-11",14455400,
"Total earnings","Accommodation and food services","Otago","Jun-11",62540200,
"Total earnings","Transport, storage, information media, and telecommunications","Waikato","Jun-11",80797800,
"Total earnings","Transport, storage, information media, and telecommunications","Auckland","Jun-11",738902700,
"Total earnings","Transport, storage, information media, and telecommunications","Gisborne","Jun-11",7856700,
"Total earnings","Transport, storage, information media, and telecommunications","Northland","Jun-11",25449400,
"Total earnings","Transport, storage, information media, and telecommunications","Bay of Plenty","Jun-11",77376800,
"Total earnings","Transport, storage, information media, and telecommunications","Wellington","Jun-11",227153100,
"Total earnings","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Jun-11",44445000,
"Total earnings","Transport, storage, information media, and telecommunications","Taranaki","Jun-11",35206500,
"Total earnings","Transport, storage, information media, and telecommunications","Southland","Jun-11",29979200,
"Total earnings","Transport, storage, information media, and telecommunications","Canterbury","Jun-11",203393700,
"Total earnings","Transport, storage, information media, and telecommunications","Otago","Jun-11",51126400,
"Total earnings","Transport, storage, information media, and telecommunications","Hawke's Bay","Jun-11",31776700,
"Total earnings","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Jun-11",50012700,
"Total earnings","Financial and insurance services","Bay of Plenty","Jun-11",28699200,
"Total earnings","Financial and insurance services","Waikato","Jun-11",42349000,
"Total earnings","Financial and insurance services","Auckland","Jun-11",511708800,
"Total earnings","Financial and insurance services","Northland","Jun-11",12368200,
"Total earnings","Financial and insurance services","Southland","Jun-11",13614400,
"Total earnings","Financial and insurance services","Otago","Jun-11",24814400,
"Total earnings","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Jun-11",15271700,
"Total earnings","Financial and insurance services","Gisborne","Jun-11",3217000,
"Total earnings","Financial and insurance services","Taranaki","Jun-11",10472400,
"Total earnings","Financial and insurance services","Canterbury","Jun-11",96527500,
"Total earnings","Financial and insurance services","Wellington","Jun-11",198366600,
"Total earnings","Financial and insurance services","Manawatu-Wanganui","Jun-11",20117200,
"Total earnings","Financial and insurance services","Hawke's Bay","Jun-11",15434700,
"Total earnings","Rental, hiring, and real estate services","Gisborne","Jun-11",1426400,
"Total earnings","Rental, hiring, and real estate services","Hawke's Bay","Jun-11",9698400,
"Total earnings","Rental, hiring, and real estate services","Bay of Plenty","Jun-11",12849000,
"Total earnings","Rental, hiring, and real estate services","Waikato","Jun-11",17302100,
"Total earnings","Rental, hiring, and real estate services","Northland","Jun-11",7010600,
"Total earnings","Rental, hiring, and real estate services","Auckland","Jun-11",130266000,
"Total earnings","Rental, hiring, and real estate services","Canterbury","Jun-11",34855700,
"Total earnings","Rental, hiring, and real estate services","Canterbury","Mar-11",36223700,
"Total earnings","Rental, hiring, and real estate services","Auckland","Mar-11",129707600,
"Total earnings","Rental, hiring, and real estate services","Northland","Mar-11",6866800,
"Total earnings","Rental, hiring, and real estate services","Waikato","Mar-11",17204100,
"Total earnings","Rental, hiring, and real estate services","Bay of Plenty","Mar-11",13835100,
"Total earnings","Rental, hiring, and real estate services","Hawke's Bay","Mar-11",9481000,
"Total earnings","Rental, hiring, and real estate services","Gisborne","Mar-11",1268000,
"Total earnings","Financial and insurance services","Hawke's Bay","Mar-11",14580400,
"Total earnings","Financial and insurance services","Manawatu-Wanganui","Mar-11",18657800,
"Total earnings","Financial and insurance services","Wellington","Mar-11",203311600,
"Total earnings","Financial and insurance services","Canterbury","Mar-11",90528600,
"Total earnings","Financial and insurance services","Taranaki","Mar-11",9320800,
"Total earnings","Financial and insurance services","Gisborne","Mar-11",2749500,
"Total earnings","Financial and insurance services","Tasman, Nelson, Marlborough, West Coast","Mar-11",13981100,
"Total earnings","Financial and insurance services","Otago","Mar-11",23588600,
"Total earnings","Financial and insurance services","Southland","Mar-11",12257300,
"Total earnings","Financial and insurance services","Northland","Mar-11",12428000,
"Total earnings","Financial and insurance services","Auckland","Mar-11",496596700,
"Total earnings","Financial and insurance services","Waikato","Mar-11",37808500,
"Total earnings","Financial and insurance services","Bay of Plenty","Mar-11",26914800,
"Total earnings","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Mar-11",49869800,
"Total earnings","Transport, storage, information media, and telecommunications","Hawke's Bay","Mar-11",31603500,
"Total earnings","Transport, storage, information media, and telecommunications","Otago","Mar-11",52324800,
"Total earnings","Transport, storage, information media, and telecommunications","Canterbury","Mar-11",208441600,
"Total earnings","Transport, storage, information media, and telecommunications","Southland","Mar-11",30111300,
"Total earnings","Transport, storage, information media, and telecommunications","Taranaki","Mar-11",35122800,
"Total earnings","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Mar-11",45714600,
