Measure,Territorial authority,Quarter,Value,Flags
"Total earnings","Timaru district","Mar-07",163384000,
"Total earnings","Waimate district","Mar-07",14527100,
"Total earnings","Mackenzie district","Mar-07",12802000,
"Total earnings","Central Otago district","Mar-07",65185400,
"Total earnings","Waitaki district","Mar-07",71859600,
"Total earnings","Dunedin city","Mar-07",482609500,
"Total earnings","Queenstown-Lakes district","Mar-07",118042200,
"Total earnings","Southland district","Mar-07",118239200,
"Total earnings","Clutha district","Mar-07",59850500,
"Total earnings","Invercargill city","Mar-07",209834400,
"Total earnings","Gore district","Mar-07",50019400,
"Total earnings","Gore district","Dec-06",47143600,
"Total earnings","Invercargill city","Dec-06",226497700,
"Total earnings","Clutha district","Dec-06",58733800,
"Total earnings","Southland district","Dec-06",112081100,
"Total earnings","Dunedin city","Dec-06",521600700,
"Total earnings","Waitaki district","Dec-06",70963300,
"Total earnings","Queenstown-Lakes district","Dec-06",122574200,
"Total earnings","Central Otago district","Dec-06",65225300,
"Total earnings","Mackenzie district","Dec-06",12446700,
"Total earnings","Waimate district","Dec-06",15195900,
"Total earnings","Timaru district","Dec-06",174807800,
"Total earnings","Ashburton district","Dec-06",109417600,
"Total earnings","Christchurch city (modified)","Dec-06",1844460500,
"Total earnings","Selwyn district","Dec-06",104197000,
"Total earnings","Grey district","Dec-06",62432000,
"Total earnings","Hurunui district","Dec-06",25307400,
"Total earnings","Waimakariri district","Dec-06",81618100,
"Total earnings","Kaikoura district","Dec-06",11736000,
"Total earnings","Westland district","Dec-06",28482000,
"Total earnings","Buller district","Dec-06",30906500,
"Total earnings","South Wairarapa district","Dec-06",19466800,
"Total earnings","Nelson city","Dec-06",214426300,
"Total earnings","Marlborough district","Dec-06",173757200,
"Total earnings","Masterton district","Dec-06",82348100,
"Total earnings","Tasman district","Dec-06",127574300,
"Total earnings","Carterton district","Dec-06",20037100,
"Total earnings","Porirua city","Dec-06",152173100,
"Total earnings","Lower Hutt city","Dec-06",476244600,
"Total earnings","Wellington city","Dec-06",1815657900,
"Total earnings","Horowhenua district","Dec-06",74636700,
"Total earnings","Upper Hutt city","Dec-06",109945700,
"Total earnings","Kapiti Coast district","Dec-06",95423000,
"Total earnings","Rangitikei district (modified)","Dec-06",42280400,
"Total earnings","Palmerston North city","Dec-06",427620100,
"Total earnings","Tararua district","Dec-06",52620900,
"Total earnings","Manawatu district","Dec-06",73598400,
"Total earnings","Wanganui district","Dec-06",156187200,
"Total earnings","Ruapehu district (modified)","Dec-06",50672700,
"Total earnings","Central Hawke's Bay district","Dec-06",45556700,
"Total earnings","Stratford district","Dec-06",20958400,
"Total earnings","South Taranaki district","Dec-06",117066900,
"Total earnings","Hastings district (modified)","Dec-06",323297000,
"Total earnings","Napier city","Dec-06",210878900,
"Total earnings","New Plymouth district","Dec-06",316249000,
"Total earnings","Kawerau district","Dec-06",42926800,
"Total earnings","Gisborne district","Dec-06",158487100,
"Total earnings","Wairoa district","Dec-06",27349000,
"Total earnings","Kaipara district","Dec-06",48802800,
"Total earnings","Rodney district","Dec-06",206875700,
"Total earnings","Whangarei district","Dec-06",289268700,
"Total earnings","Waitakere city","Dec-06",463203000,
"Total earnings","North Shore city","Dec-06",920172300,
"Total earnings","Manukau city","Dec-06",1386524700,
"Total earnings","Auckland city","Dec-06",3899002100,
"Total earnings","Papakura district","Dec-06",156960300,
"Total earnings","Franklin district","Dec-06",173443300,
"Total earnings","Hauraki district","Dec-06",41982300,
"Total earnings","Thames-Coromandel district","Dec-06",76109200,
"Total earnings","Matamata-Piako district","Dec-06",118166100,
"Total earnings","Waikato district","Dec-06",119666600,
"Total earnings","Hamilton city","Dec-06",775718100,
"Total earnings","Waipa district","Dec-06",135574300,
"Total earnings","Otorohanga district","Dec-06",30615300,
"Total earnings","South Waikato district","Dec-06",84197800,
"Total earnings","Taupo district (modified)","Dec-06",124281400,
"Total earnings","Waitomo district (modified)","Dec-06",37281700,
"Total earnings","Western Bay of Plenty district","Dec-06",96026900,
"Total earnings","Tauranga city","Dec-06",437559900,
"Total earnings","Rotorua district","Dec-06",276224400,
"Total earnings","Whakatane district (modified)","Dec-06",104056300,
"Total earnings","Opotiki district","Dec-06",20618600,
"Total earnings","Opotiki district","Sep-06",19779400,
"Total earnings","Whakatane district (modified)","Sep-06",103074400,
"Total earnings","Rotorua district","Sep-06",259096000,
"Total earnings","Tauranga city","Sep-06",412725900,
"Total earnings","Western Bay of Plenty district","Sep-06",98909200,
"Total earnings","Waitomo district (modified)","Sep-06",32589100,
"Total earnings","Taupo district (modified)","Sep-06",111365200,
"Total earnings","South Waikato district","Sep-06",78427700,
"Total earnings","Otorohanga district","Sep-06",27833800,
"Total earnings","Waipa district","Sep-06",126448400,
"Total earnings","Hamilton city","Sep-06",732798900,
"Total earnings","Waikato district","Sep-06",106087100,
"Total earnings","Matamata-Piako district","Sep-06",112653600,
"Total earnings","Hauraki district","Sep-06",37401800,
"Total earnings","Thames-Coromandel district","Sep-06",67393800,
"Total earnings","Franklin district","Sep-06",162446100,
"Total earnings","Papakura district","Sep-06",148125300,
"Total earnings","Auckland city","Sep-06",3687475700,
"Total earnings","Manukau city","Sep-06",1295756100,
"Total earnings","North Shore city","Sep-06",875558500,
"Total earnings","Waitakere city","Sep-06",428649100,
"Total earnings","Whangarei district","Sep-06",273115300,
"Total earnings","Rodney district","Sep-06",187259500,
"Total earnings","Kaipara district","Sep-06",45636700,
"Total earnings","Wairoa district","Sep-06",24179900,
"Total earnings","Kawerau district","Sep-06",48466900,
"Total earnings","Gisborne district","Sep-06",146146600,
"Total earnings","New Plymouth district","Sep-06",298712100,
"Total earnings","Napier city","Sep-06",196939500,
"Total earnings","Hastings district (modified)","Sep-06",282547700,
"Total earnings","South Taranaki district","Sep-06",108403000,
"Total earnings","Stratford district","Sep-06",19411400,
"Total earnings","Central Hawke's Bay district","Sep-06",40160900,
"Total earnings","Ruapehu district (modified)","Sep-06",52111100,
"Total earnings","Wanganui district","Sep-06",144154800,
"Total earnings","Manawatu district","Sep-06",68363100,
"Total earnings","Tararua district","Sep-06",47316900,
"Total earnings","Palmerston North city","Sep-06",421934800,
"Total earnings","Rangitikei district (modified)","Sep-06",38529600,
"Total earnings","Kapiti Coast district","Sep-06",87590700,
"Total earnings","Horowhenua district","Sep-06",70262700,
"Total earnings","Upper Hutt city","Sep-06",104037900,
"Total earnings","Wellington city","Sep-06",1646702300,
"Total earnings","Lower Hutt city","Sep-06",441577900,
"Total earnings","Porirua city","Sep-06",141287700,
"Total earnings","Carterton district","Sep-06",19089200,
"Total earnings","Tasman district","Sep-06",116706400,
"Total earnings","Masterton district","Sep-06",76549000,
"Total earnings","Marlborough district","Sep-06",164227700,
"Total earnings","Nelson city","Sep-06",212752000,
"Total earnings","South Wairarapa district","Sep-06",17685800,
"Total earnings","Buller district","Sep-06",28527400,
"Total earnings","Westland district","Sep-06",23410000,
"Total earnings","Kaikoura district","Sep-06",10087800,
"Total earnings","Waimakariri district","Sep-06",74285200,
"Total earnings","Hurunui district","Sep-06",24007800,
"Total earnings","Grey district","Sep-06",60009500,
"Total earnings","Selwyn district","Sep-06",96286400,
"Total earnings","Christchurch city (modified)","Sep-06",1727176600,
"Total earnings","Ashburton district","Sep-06",101459100,
"Total earnings","Timaru district","Sep-06",159522700,
"Total earnings","Waimate district","Sep-06",14357000,
"Total earnings","Mackenzie district","Sep-06",10892400,
"Total earnings","Central Otago district","Sep-06",58749300,
"Total earnings","Queenstown-Lakes district","Sep-06",116869100,
"Total earnings","Waitaki district","Sep-06",62714200,
"Total earnings","Dunedin city","Sep-06",495045100,
"Total earnings","Southland district","Sep-06",93666700,
"Total earnings","Clutha district","Sep-06",54214900,
"Total earnings","Invercargill city","Sep-06",206364900,
"Total earnings","Gore district","Sep-06",42118900,
"Total earnings","Gore district","Jun-06",48461800,
"Total earnings","Invercargill city","Jun-06",203154400,
"Total earnings","Clutha district","Jun-06",56268400,
"Total earnings","Southland district","Jun-06",111105700,
"Total earnings","Dunedin city","Jun-06",482717600,
"Total earnings","Waitaki district","Jun-06",68001600,
"Total earnings","Queenstown-Lakes district","Jun-06",109124700,
"Total earnings","Central Otago district","Jun-06",56525900,
"Total earnings","Mackenzie district","Jun-06",10357400,
"Total earnings","Waimate district","Jun-06",13616600,
"Total earnings","Timaru district","Jun-06",159501000,
"Total earnings","Ashburton district","Jun-06",101829900,
"Total earnings","Christchurch city (modified)","Jun-06",1700738200,
"Total earnings","Selwyn district","Jun-06",94117100,
"Total earnings","Grey district","Jun-06",58809200,
"Total earnings","Hurunui district","Jun-06",22410300,
"Total earnings","Waimakariri district","Jun-06",72395500,
"Total earnings","Kaikoura district","Jun-06",10282000,
"Total earnings","Westland district","Jun-06",24283500,
"Total earnings","Buller district","Jun-06",28110300,
"Total earnings","South Wairarapa district","Jun-06",17918200,
"Total earnings","Nelson city","Jun-06",196974200,
"Total earnings","Marlborough district","Jun-06",159530200,
"Total earnings","Tasman district","Jun-06",123762100,
"Total earnings","Carterton district","Jun-06",17853200,
"Total earnings","Masterton district","Jun-06",74615500,
"Total earnings","Porirua city","Jun-06",140552500,
"Total earnings","Lower Hutt city","Jun-06",435546400,
"Total earnings","Wellington city","Jun-06",1624340500,
"Total earnings","Upper Hutt city","Jun-06",105831300,
"Total earnings","Horowhenua district","Jun-06",68785900,
"Total earnings","Kapiti Coast district","Jun-06",83776300,
"Total earnings","Rangitikei district (modified)","Jun-06",38177400,
"Total earnings","Palmerston North city","Jun-06",405398800,
"Total earnings","Tararua district","Jun-06",47791200,
"Total earnings","Manawatu district","Jun-06",66173300,
"Total earnings","Wanganui district","Jun-06",145082800,
"Total earnings","Ruapehu district (modified)","Jun-06",45133200,
"Total earnings","Central Hawke's Bay district","Jun-06",42732600,
"Total earnings","Stratford district","Jun-06",18618700,
"Total earnings","South Taranaki district","Jun-06",106803400,
"Total earnings","Hastings district (modified)","Jun-06",295462200,
"Total earnings","Napier city","Jun-06",195446600,
"Total earnings","New Plymouth district","Jun-06",290552300,
"Total earnings","Gisborne district","Jun-06",143945300,
"Total earnings","Kawerau district","Jun-06",44912100,
"Total earnings","Wairoa district","Jun-06",23628800,
"Total earnings","Kaipara district","Jun-06",42214000,
"Total earnings","Rodney district","Jun-06",184537500,
"Total earnings","Whangarei district","Jun-06",260997000,
"Total earnings","Waitakere city","Jun-06",416486300,
"Total earnings","North Shore city","Jun-06",840553200,
"Total earnings","Manukau city","Jun-06",1303504200,
"Total earnings","Auckland city","Jun-06",3587870700,
"Total earnings","Papakura district","Jun-06",143292100,
"Total earnings","Franklin district","Jun-06",157932900,
"Total earnings","Thames-Coromandel district","Jun-06",66667400,
"Total earnings","Hauraki district","Jun-06",36254600,
"Total earnings","Matamata-Piako district","Jun-06",103456100,
"Total earnings","Waikato district","Jun-06",102140700,
"Total earnings","Hamilton city","Jun-06",699886200,
"Total earnings","Waipa district","Jun-06",121566400,
"Total earnings","Otorohanga district","Jun-06",26741900,
"Total earnings","South Waikato district","Jun-06",77144900,
"Total earnings","Taupo district (modified)","Jun-06",110346600,
"Total earnings","Waitomo district (modified)","Jun-06",32866200,
"Total earnings","Western Bay of Plenty district","Jun-06",103610000,
"Total earnings","Tauranga city","Jun-06",399501900,
"Total earnings","Rotorua district","Jun-06",249043100,
"Total earnings","Whakatane district (modified)","Jun-06",98973300,
"Total earnings","Opotiki district","Jun-06",19220000,
"Total earnings","Opotiki district","Mar-06",16549100,
"Total earnings","Whakatane district (modified)","Mar-06",90555700,
"Total earnings","Rotorua district","Mar-06",245787300,
"Total earnings","Tauranga city","Mar-06",382475400,
"Total earnings","Waitomo district (modified)","Mar-06",33677300,
"Total earnings","Western Bay of Plenty district","Mar-06",77847400,
"Total earnings","Taupo district (modified)","Mar-06",107737900,
"Total earnings","South Waikato district","Mar-06",75256100,
"Total earnings","Otorohanga district","Mar-06",25940000,
"Total earnings","Waipa district","Mar-06",115107800,
"Total earnings","Hamilton city","Mar-06",665592000,
"Total earnings","Waikato district","Mar-06",99554100,
"Total earnings","Matamata-Piako district","Mar-06",102998900,
"Total earnings","Hauraki district","Mar-06",35182400,
"Total earnings","Thames-Coromandel district","Mar-06",72567500,
"Total earnings","Franklin district","Mar-06",153828900,
"Total earnings","Papakura district","Mar-06",139491500,
"Total earnings","Auckland city","Mar-06",3533000800,
"Total earnings","Manukau city","Mar-06",1214797600,
"Total earnings","Waitakere city","Mar-06",397175100,
"Total earnings","North Shore city","Mar-06",808052300,
"Total earnings","Whangarei district","Mar-06",249663800,
"Total earnings","Rodney district","Mar-06",175951100,
"Total earnings","Kaipara district","Mar-06",41424700,
"Total earnings","Wairoa district","Mar-06",24266100,
"Total earnings","Kawerau district","Mar-06",48671800,
"Total earnings","Gisborne district","Mar-06",142097900,
"Total earnings","New Plymouth district","Mar-06",278961100,
"Total earnings","Napier city","Mar-06",188278400,
"Total earnings","Hastings district (modified)","Mar-06",287495900,
"Total earnings","South Taranaki district","Mar-06",110240100,
"Total earnings","Central Hawke's Bay district","Mar-06",49139700,
"Total earnings","Stratford district","Mar-06",18773900,
"Total earnings","Ruapehu district (modified)","Mar-06",46311500,
"Total earnings","Wanganui district","Mar-06",137743800,
"Total earnings","Manawatu district","Mar-06",68697100,
"Total earnings","Tararua district","Mar-06",49631600,
"Total earnings","Palmerston North city","Mar-06",392941900,
"Total earnings","Rangitikei district (modified)","Mar-06",39126500,
"Total earnings","Kapiti Coast district","Mar-06",80931600,
"Total earnings","Horowhenua district","Mar-06",66454100,
"Total earnings","Upper Hutt city","Mar-06",98840100,
"Total earnings","Wellington city","Mar-06",1565348100,
"Total earnings","Lower Hutt city","Mar-06",412886500,
"Total earnings","Porirua city","Mar-06",129677200,
"Total earnings","Masterton district","Mar-06",74653200,
"Total earnings","Carterton district","Mar-06",18146300,
"Total earnings","Tasman district","Mar-06",122827200,
"Total earnings","Marlborough district","Mar-06",157768700,
"Total earnings","Nelson city","Mar-06",192574700,
"Total earnings","South Wairarapa district","Mar-06",18048700,
"Total earnings","Buller district","Mar-06",26915400,
"Total earnings","Kaikoura district","Mar-06",11291200,
"Total earnings","Westland district","Mar-06",26610500,
"Total earnings","Waimakariri district","Mar-06",68487700,
"Total earnings","Hurunui district","Mar-06",24381100,
"Total earnings","Grey district","Mar-06",57701200,
"Total earnings","Selwyn district","Mar-06",91576800,
"Total earnings","Christchurch city (modified)","Mar-06",1642933100,
"Total earnings","Ashburton district","Mar-06",102078300,
"Total earnings","Timaru district","Mar-06",155167000,
"Total earnings","Waimate district","Mar-06",14001200,
"Total earnings","Mackenzie district","Mar-06",11798900,
"Total earnings","Central Otago district","Mar-06",61469300,
"Total earnings","Queenstown-Lakes district","Mar-06",111235100,
"Total earnings","Waitaki district","Mar-06",69202600,
"Total earnings","Dunedin city","Mar-06",461526700,
"Total earnings","Southland district","Mar-06",111755300,
"Total earnings","Clutha district","Mar-06",56067500,
"Total earnings","Invercargill city","Mar-06",197911100,
"Total earnings","Gore district","Mar-06",47082000,
"Total earnings","Gore district","Dec-05",45398300,
"Total earnings","Invercargill city","Dec-05",208761500,
"Total earnings","Clutha district","Dec-05",56435900,
"Total earnings","Southland district","Dec-05",108618900,
"Total earnings","Dunedin city","Dec-05",495047800,
"Total earnings","Waitaki district","Dec-05",68015800,
"Total earnings","Queenstown-Lakes district","Dec-05",111504700,
"Total earnings","Central Otago district","Dec-05",60268400,
"Total earnings","Mackenzie district","Dec-05",11935900,
"Total earnings","Waimate district","Dec-05",14560000,
"Total earnings","Timaru district","Dec-05",159238700,
"Total earnings","Ashburton district","Dec-05",103485500,
"Total earnings","Selwyn district","Dec-05",95396100,
"Total earnings","Christchurch city (modified)","Dec-05",1726984600,
"Total earnings","Grey district","Dec-05",59995800,
"Total earnings","Hurunui district","Dec-05",22849100,
"Total earnings","Waimakariri district","Dec-05",74069300,
"Total earnings","Westland district","Dec-05",27272300,
"Total earnings","Kaikoura district","Dec-05",10864000,
"Total earnings","Buller district","Dec-05",28810200,
"Total earnings","South Wairarapa district","Dec-05",18475900,
"Total earnings","Nelson city","Dec-05",199652900,
"Total earnings","Marlborough district","Dec-05",160239100,
"Total earnings","Tasman district","Dec-05",120270000,
"Total earnings","Carterton district","Dec-05",18402500,
"Total earnings","Masterton district","Dec-05",77888600,
"Total earnings","Porirua city","Dec-05",134095100,
"Total earnings","Lower Hutt city","Dec-05",440433700,
"Total earnings","Wellington city","Dec-05",1661916900,
"Total earnings","Upper Hutt city","Dec-05",102781700,
"Total earnings","Horowhenua district","Dec-05",71166000,
"Total earnings","Kapiti Coast district","Dec-05",86620200,
"Total earnings","Rangitikei district (modified)","Dec-05",38972500,
"Total earnings","Palmerston North city","Dec-05",403368700,
"Total earnings","Tararua district","Dec-05",49970200,
"Total earnings","Manawatu district","Dec-05",68732300,
"Total earnings","Wanganui district","Dec-05",147916500,
"Total earnings","Ruapehu district (modified)","Dec-05",48088400,
"Total earnings","Stratford district","Dec-05",18888800,
"Total earnings","Central Hawke's Bay district","Dec-05",48117400,
"Total earnings","South Taranaki district","Dec-05",106228600,
"Total earnings","Hastings district (modified)","Dec-05",297139800,
"Total earnings","Napier city","Dec-05",196851000,
"Total earnings","New Plymouth district","Dec-05",286659100,
"Total earnings","Gisborne district","Dec-05",145964400,
"Total earnings","Kawerau district","Dec-05",42006200,
"Total earnings","Wairoa district","Dec-05",25324900,
"Total earnings","Kaipara district","Dec-05",43766800,
"Total earnings","Rodney district","Dec-05",188723000,
"Total earnings","Whangarei district","Dec-05",266710700,
"Total earnings","North Shore city","Dec-05",840944800,
"Total earnings","Waitakere city","Dec-05",432264100,
"Total earnings","Manukau city","Dec-05",1317727600,
"Total earnings","Auckland city","Dec-05",3679801500,
"Total earnings","Papakura district","Dec-05",150759100,
"Total earnings","Franklin district","Dec-05",158031500,
"Total earnings","Thames-Coromandel district","Dec-05",73586700,
"Total earnings","Hauraki district","Dec-05",37118900,
"Total earnings","Matamata-Piako district","Dec-05",106956600,
"Total earnings","Waikato district","Dec-05",110773300,
"Total earnings","Hamilton city","Dec-05",702842800,
"Total earnings","Waipa district","Dec-05",122037000,
"Total earnings","Otorohanga district","Dec-05",28150300,
"Total earnings","South Waikato district","Dec-05",84462600,
"Total earnings","Taupo district (modified)","Dec-05",116304900,
"Total earnings","Western Bay of Plenty district","Dec-05",83336600,
"Total earnings","Waitomo district (modified)","Dec-05",34493100,
"Total earnings","Tauranga city","Dec-05",402801500,
"Total earnings","Rotorua district","Dec-05",265499900,
"Total earnings","Whakatane district (modified)","Dec-05",96850700,
"Total earnings","Opotiki district","Dec-05",18180500,
"Total earnings","Opotiki district","Sep-05",17834700,
"Total earnings","Whakatane district (modified)","Sep-05",95436500,
"Total earnings","Rotorua district","Sep-05",248657500,
"Total earnings","Tauranga city","Sep-05",377663000,
"Total earnings","Waitomo district (modified)","Sep-05",31251700,
"Total earnings","Western Bay of Plenty district","Sep-05",83505700,
"Total earnings","Taupo district (modified)","Sep-05",105212700,
"Total earnings","South Waikato district","Sep-05",79269800,
"Total earnings","Otorohanga district","Sep-05",25071000,
"Total earnings","Waipa district","Sep-05",115456800,
"Total earnings","Waikato district","Sep-05",94697900,
"Total earnings","Hamilton city","Sep-05",665879700,
"Total earnings","Matamata-Piako district","Sep-05",105622700,
"Total earnings","Hauraki district","Sep-05",34668000,
"Total earnings","Thames-Coromandel district","Sep-05",67476900,
"Total earnings","Franklin district","Sep-05",154382500,
"Total earnings","Papakura district","Sep-05",145128600,
"Total earnings","Auckland city","Sep-05",3523486600,
"Total earnings","Manukau city","Sep-05",1221542900,
"Total earnings","Waitakere city","Sep-05",406291500,
"Total earnings","North Shore city","Sep-05",810901900,
"Total earnings","Whangarei district","Sep-05",251411800,
"Total earnings","Rodney district","Sep-05",176914100,
"Total earnings","Kaipara district","Sep-05",41856300,
"Total earnings","Wairoa district","Sep-05",22207600,
"Total earnings","Kawerau district","Sep-05",42814200,
"Total earnings","Gisborne district","Sep-05",136986100,
"Total earnings","New Plymouth district","Sep-05",270544400,
"Total earnings","Napier city","Sep-05",185161200,
"Total earnings","Hastings district (modified)","Sep-05",265024300,
"Total earnings","South Taranaki district","Sep-05",109072500,
"Total earnings","Central Hawke's Bay district","Sep-05",41827700,
"Total earnings","Stratford district","Sep-05",18400200,
"Total earnings","Ruapehu district (modified)","Sep-05",49020700,
"Total earnings","Wanganui district","Sep-05",138081000,
"Total earnings","Manawatu district","Sep-05",67283000,
"Total earnings","Tararua district","Sep-05",46137000,
"Total earnings","Palmerston North city","Sep-05",392095300,
"Total earnings","Rangitikei district (modified)","Sep-05",35507600,
"Total earnings","Kapiti Coast district","Sep-05",80964400,
"Total earnings","Horowhenua district","Sep-05",65729300,
"Total earnings","Upper Hutt city","Sep-05",94293400,
"Total earnings","Wellington city","Sep-05",1548707000,
"Total earnings","Lower Hutt city","Sep-05",412430000,
"Total earnings","Porirua city","Sep-05",126023700,
"Total earnings","Masterton district","Sep-05",73078100,
"Total earnings","Carterton district","Sep-05",17609400,
"Total earnings","Tasman district","Sep-05",111824600,
"Total earnings","Marlborough district","Sep-05",151414100,
"Total earnings","Nelson city","Sep-05",197524700,
"Total earnings","South Wairarapa district","Sep-05",17023300,
"Total earnings","Buller district","Sep-05",26188700,
"Total earnings","Kaikoura district","Sep-05",9385100,
"Total earnings","Westland district","Sep-05",23059700,
"Total earnings","Waimakariri district","Sep-05",69781200,
"Total earnings","Hurunui district","Sep-05",22042900,
"Total earnings","Grey district","Sep-05",54377900,
"Total earnings","Christchurch city (modified)","Sep-05",1634344900,
"Total earnings","Selwyn district","Sep-05",87906200,
"Total earnings","Ashburton district","Sep-05",97666100,
"Total earnings","Timaru district","Sep-05",151890300,
"Total earnings","Waimate district","Sep-05",14124300,
"Total earnings","Mackenzie district","Sep-05",10448700,
"Total earnings","Central Otago district","Sep-05",54222900,
"Total earnings","Waitaki district","Sep-05",61687200,
"Total earnings","Queenstown-Lakes district","Sep-05",111453300,
"Total earnings","Dunedin city","Sep-05",468351100,
"Total earnings","Southland district","Sep-05",91487500,
"Total earnings","Clutha district","Sep-05",52027300,
"Total earnings","Invercargill city","Sep-05",195118100,
"Total earnings","Gore district","Sep-05",40090800,
"Total earnings","Invercargill city","Jun-05",191839300,
"Total earnings","Gore district","Jun-05",47656400,
"Total earnings","Clutha district","Jun-05",53812300,
"Total earnings","Southland district","Jun-05",105582200,
"Total earnings","Dunedin city","Jun-05",456068800,
"Total earnings","Queenstown-Lakes district","Jun-05",99486500,
"Total earnings","Waitaki district","Jun-05",64566800,
"Total earnings","Central Otago district","Jun-05",51566300,
"Total earnings","Mackenzie district","Jun-05",9884500,
"Total earnings","Waimate district","Jun-05",14240000,
"Total earnings","Timaru district","Jun-05",149240200,
"Total earnings","Ashburton district","Jun-05",97107600,
"Total earnings","Selwyn district","Jun-05",88652100,
"Total earnings","Christchurch city (modified)","Jun-05",1608623400,
"Total earnings","Grey district","Jun-05",53593000,
"Total earnings","Hurunui district","Jun-05",20403500,
"Total earnings","Waimakariri district","Jun-05",67557200,
"Total earnings","Westland district","Jun-05",23598300,
"Total earnings","Kaikoura district","Jun-05",9056900,
"Total earnings","Buller district","Jun-05",25857700,
"Total earnings","South Wairarapa district","Jun-05",17004400,
"Total earnings","Nelson city","Jun-05",186902900,
"Total earnings","Marlborough district","Jun-05",146598200,
"Total earnings","Tasman district","Jun-05",122549100,
"Total earnings","Carterton district","Jun-05",16528900,
"Total earnings","Masterton district","Jun-05",70643600,
"Total earnings","Porirua city","Jun-05",122187900,
"Total earnings","Lower Hutt city","Jun-05",404559500,
"Total earnings","Wellington city","Jun-05",1545482000,
"Total earnings","Upper Hutt city","Jun-05",93547700,
"Total earnings","Horowhenua district","Jun-05",65083500,
"Total earnings","Kapiti Coast district","Jun-05",77373100,
"Total earnings","Rangitikei district (modified)","Jun-05",34742600,
"Total earnings","Palmerston North city","Jun-05",376964900,
"Total earnings","Tararua district","Jun-05",45294300,
"Total earnings","Manawatu district","Jun-05",64597500,
"Total earnings","Wanganui district","Jun-05",140729100,
"Total earnings","Ruapehu district (modified)","Jun-05",44676700,
"Total earnings","Stratford district","Jun-05",17897800,
"Total earnings","South Taranaki district","Jun-05",105625900,
"Total earnings","Hastings district (modified)","Jun-05",283285400,
"Total earnings","Napier city","Jun-05",180946100,
"Total earnings","New Plymouth district","Jun-05",265985500,
"Total earnings","Central Hawke's Bay district","Jun-05",44637800,
"Total earnings","Gisborne district","Jun-05",136364000,
"Total earnings","Kawerau district","Jun-05",42316900,
"Total earnings","Wairoa district","Jun-05",22713900,
"Total earnings","Kaipara district","Jun-05",37093200,
"Total earnings","Rodney district","Jun-05",171979600,
"Total earnings","Whangarei district","Jun-05",239632200,
"Total earnings","North Shore city","Jun-05",778777400,
"Total earnings","Waitakere city","Jun-05",395801600,
"Total earnings","Manukau city","Jun-05",1221350500,
"Total earnings","Auckland city","Jun-05",3411956100,
"Total earnings","Papakura district","Jun-05",141140100,
"Total earnings","Franklin district","Jun-05",147407100,
"Total earnings","Thames-Coromandel district","Jun-05",68259500,
"Total earnings","Hauraki district","Jun-05",33965400,
"Total earnings","Matamata-Piako district","Jun-05",97504200,
"Total earnings","Hamilton city","Jun-05",646457400,
"Total earnings","Waikato district","Jun-05",94616300,
"Total earnings","Waipa district","Jun-05",111268100,
"Total earnings","Otorohanga district","Jun-05",25065700,
"Total earnings","South Waikato district","Jun-05",77470200,
"Total earnings","Taupo district (modified)","Jun-05",104406600,
"Total earnings","Western Bay of Plenty district","Jun-05",92645000,
"Total earnings","Waitomo district (modified)","Jun-05",31164300,
"Total earnings","Tauranga city","Jun-05",370420800,
"Total earnings","Rotorua district","Jun-05",242819100,
"Total earnings","Whakatane district (modified)","Jun-05",94974100,
"Total earnings","Opotiki district","Jun-05",17937400,
"Total earnings","Opotiki district","Mar-05",16863500,
"Total earnings","Kawerau district","Mar-05",48620200,
"Total earnings","Whakatane district (modified)","Mar-05",87922800,
"Total earnings","Rotorua district","Mar-05",232317600,
"Total earnings","Tauranga city","Mar-05",352512000,
"Total earnings","Waitomo district (modified)","Mar-05",32049100,
"Total earnings","Western Bay of Plenty district","Mar-05",75932900,
"Total earnings","Taupo district (modified)","Mar-05",101021900,
"Total earnings","South Waikato district","Mar-05",77353400,
"Total earnings","Otorohanga district","Mar-05",23621100,
"Total earnings","Waipa district","Mar-05",108593700,
"Total earnings","Waikato district","Mar-05",93625500,
"Total earnings","Hamilton city","Mar-05",606544000,
"Total earnings","Matamata-Piako district","Mar-05",97855600,
"Total earnings","Hauraki district","Mar-05",33480200,
"Total earnings","Thames-Coromandel district","Mar-05",69186900,
"Total earnings","Franklin district","Mar-05",144862800,
"Total earnings","Auckland city","Mar-05",3275639700,
"Total earnings","Papakura district","Mar-05",136866400,
"Total earnings","Manukau city","Mar-05",1136710600,
"Total earnings","Waitakere city","Mar-05",374169000,
"Total earnings","North Shore city","Mar-05",750406000,
"Total earnings","Whangarei district","Mar-05",228401700,
"Total earnings","Rodney district","Mar-05",164460900,
"Total earnings","Kaipara district","Mar-05",36029000,
"Total earnings","Wairoa district","Mar-05",23872200,
"Total earnings","Gisborne district","Mar-05",136387900,
"Total earnings","Central Hawke's Bay district","Mar-05",47841900,
"Total earnings","New Plymouth district","Mar-05",255006800,
"Total earnings","Napier city","Mar-05",177678900,
"Total earnings","Hastings district (modified)","Mar-05",274760500,
"Total earnings","South Taranaki district","Mar-05",109201900,
"Total earnings","Stratford district","Mar-05",17832300,
"Total earnings","Ruapehu district (modified)","Mar-05",44250600,
"Total earnings","Wanganui district","Mar-05",133404000,
"Total earnings","Manawatu district","Mar-05",65131700,
"Total earnings","Tararua district","Mar-05",47568600,
"Total earnings","Palmerston North city","Mar-05",365475700,
