Measure,Territorial authority,Quarter,Value,Flags
"Total earnings","South Waikato district","Sep-13",87668900,
"Total earnings","Waipa district","Sep-13",166832700,
"Total earnings","Matamata-Piako district","Sep-13",150017800,
"Total earnings","Waikato district","Sep-13",170258800,
"Total earnings","Hamilton city","Sep-13",961731200,
"Total earnings","Hauraki district","Sep-13",56605100,
"Total earnings","Kaipara district","Sep-13",47993600,
"Total earnings","Thames-Coromandel district","Sep-13",78099300,
"Total earnings","Auckland","Sep-13",9153651000,
"Total earnings","Whangarei district","Sep-13",353003900,
"Total earnings","Westland district","Sep-13",34564300,
"Total earnings","South Wairarapa district","Sep-13",23630500,
"Total earnings","Nelson city","Sep-13",268658500,
"Total earnings","Kaikoura district","Sep-13",12350600,
"Total earnings","Grey district","Sep-13",70994800,
"Total earnings","Buller district","Sep-13",60962500,
"Total earnings","Marlborough district","Sep-13",217844600,
"Total earnings","Waimakariri district","Sep-13",129257300,
"Total earnings","Selwyn district","Sep-13",171694100,
"Total earnings","Christchurch city (modified)","Sep-13",2363259200,
"Total earnings","Timaru district","Sep-13",228644400,
"Total earnings","Ashburton district","Sep-13",164021000,
"Total earnings","Waimate district","Sep-13",22405500,
"Total earnings","Mackenzie district","Sep-13",18419400,
"Total earnings","Waitaki district","Sep-13",93400100,
"Total earnings","Central Otago district","Sep-13",87054900,
"Total earnings","Dunedin city","Sep-13",598406800,
"Total earnings","Queenstown-Lakes district","Sep-13",176294600,
"Total earnings","Southland district","Sep-13",133409400,
"Total earnings","Clutha district","Sep-13",74118600,
"Total earnings","Invercargill city","Sep-13",270880000,
"Total earnings","Gore district","Sep-13",54983600,
"Total earnings","Hurunui district","Sep-13",38768200,
"Total earnings","Invercargill city","Jun-13",274576700,
"Total earnings","Dunedin city","Jun-13",603147600,
"Total earnings","Clutha district","Jun-13",74218600,
"Total earnings","Southland district","Jun-13",150693600,
"Total earnings","Gore district","Jun-13",60815200,
"Total earnings","Central Otago district","Jun-13",83553000,
"Total earnings","Queenstown-Lakes district","Jun-13",159871300,
"Total earnings","Waimate district","Jun-13",22958000,
"Total earnings","Waitaki district","Jun-13",96169800,
"Total earnings","Selwyn district","Jun-13",165907500,
"Total earnings","Ashburton district","Jun-13",162840100,
"Total earnings","Timaru district","Jun-13",228850400,
"Total earnings","Mackenzie district","Jun-13",17717600,
"Total earnings","Waimakariri district","Jun-13",126198600,
"Total earnings","Christchurch city (modified)","Jun-13",2314068400,
"Total earnings","Marlborough district","Jun-13",217378400,
"Total earnings","Kaikoura district","Jun-13",13263900,
"Total earnings","Buller district","Jun-13",66026900,
"Total earnings","Grey district","Jun-13",74633200,
"Total earnings","Westland district","Jun-13",34009800,
"Total earnings","Hurunui district","Jun-13",37569500,
"Total earnings","Whangarei district","Jun-13",351631300,
"Total earnings","Auckland","Jun-13",8943973400,
"Total earnings","Thames-Coromandel district","Jun-13",77981300,
"Total earnings","Kaipara district","Jun-13",48720300,
"Total earnings","Hauraki district","Jun-13",56275300,
"Total earnings","Hamilton city","Jun-13",940121400,
"Total earnings","Waikato district","Jun-13",164128800,
"Total earnings","Matamata-Piako district","Jun-13",148765200,
"Total earnings","Waipa district","Jun-13",163762500,
"Total earnings","South Waikato district","Jun-13",88055000,
"Total earnings","Waitomo district (modified)","Jun-13",42343900,
"Total earnings","Otorohanga district","Jun-13",33860700,
"Total earnings","Taupo district (modified)","Jun-13",139900100,
"Total earnings","Rotorua district","Jun-13",322671000,
"Total earnings","Western Bay of Plenty district","Jun-13",133020800,
"Total earnings","Tauranga city","Jun-13",565195900,
"Total earnings","Whakatane district (modified)","Jun-13",138711500,
"Total earnings","Opotiki district","Jun-13",27500200,
"Total earnings","Gisborne district","Jun-13",183671100,
"Total earnings","Kawerau district","Jun-13",39724300,
"Total earnings","Wairoa district","Jun-13",25644700,
"Total earnings","Central Hawke's Bay district","Jun-13",54916900,
"Total earnings","Hastings district (modified)","Jun-13",393936700,
"Total earnings","Napier city","Jun-13",236964200,
"Total earnings","New Plymouth district","Jun-13",448644500,
"Total earnings","South Taranaki district","Jun-13",144895500,
"Total earnings","Ruapehu district (modified)","Jun-13",48482900,
"Total earnings","Stratford district","Jun-13",28304400,
"Total earnings","Wanganui district","Jun-13",170364100,
"Total earnings","Palmerston North city","Jun-13",531250000,
"Total earnings","Rangitikei district (modified)","Jun-13",47045600,
"Total earnings","Manawatu district","Jun-13",81305900,
"Total earnings","Tararua district","Jun-13",52788100,
"Total earnings","Kapiti Coast district","Jun-13",105033300,
"Total earnings","Porirua city","Jun-13",181270700,
"Total earnings","Horowhenua district","Jun-13",77513400,
"Total earnings","Upper Hutt city","Jun-13",124226900,
"Total earnings","Masterton district","Jun-13",94477000,
"Total earnings","Lower Hutt city","Jun-13",515496100,
"Total earnings","Wellington city","Jun-13",2215197600,
"Total earnings","Carterton district","Jun-13",26687600,
"Total earnings","South Wairarapa district","Jun-13",25429200,
"Total earnings","Tasman district","Jun-13",177598700,
"Total earnings","Nelson city","Jun-13",271218800,
"Total earnings","Wellington city","Mar-13",2156854300,
"Total earnings","Upper Hutt city","Mar-13",122939400,
"Total earnings","Lower Hutt city","Mar-13",499995800,
"Total earnings","Kapiti Coast district","Mar-13",101686600,
"Total earnings","Porirua city","Mar-13",174248300,
"Total earnings","Tararua district","Mar-13",53893500,
"Total earnings","Horowhenua district","Mar-13",74308700,
"Total earnings","Manawatu district","Mar-13",79922900,
"Total earnings","Palmerston North city","Mar-13",505822600,
"Total earnings","Wanganui district","Mar-13",171626900,
"Total earnings","Rangitikei district (modified)","Mar-13",48168300,
"Total earnings","South Taranaki district","Mar-13",144064000,
"Total earnings","Ruapehu district (modified)","Mar-13",49437100,
"Total earnings","New Plymouth district","Mar-13",432364700,
"Total earnings","Stratford district","Mar-13",26595300,
"Total earnings","Napier city","Mar-13",233107900,
"Total earnings","Central Hawke's Bay district","Mar-13",54016300,
"Total earnings","Wairoa district","Mar-13",27649700,
"Total earnings","Hastings district (modified)","Mar-13",383191100,
"Total earnings","Opotiki district","Mar-13",24377900,
"Total earnings","Gisborne district","Mar-13",182723200,
"Total earnings","Whakatane district (modified)","Mar-13",130428400,
"Total earnings","Kawerau district","Mar-13",54284200,
"Total earnings","Tauranga city","Mar-13",538930100,
"Total earnings","Rotorua district","Mar-13",310232600,
"Total earnings","Taupo district (modified)","Mar-13",140409700,
"Total earnings","Western Bay of Plenty district","Mar-13",108395100,
"Total earnings","South Waikato district","Mar-13",81515400,
"Total earnings","Waitomo district (modified)","Mar-13",42403800,
"Total earnings","Waipa district","Mar-13",159276100,
"Total earnings","Otorohanga district","Mar-13",33974000,
"Total earnings","Matamata-Piako district","Mar-13",143731100,
"Total earnings","Hamilton city","Mar-13",896230200,
"Total earnings","Hauraki district","Mar-13",56414100,
"Total earnings","Waikato district","Mar-13",166834100,
"Total earnings","Auckland","Mar-13",8609840500,
"Total earnings","Thames-Coromandel district","Mar-13",78813800,
"Total earnings","Whangarei district","Mar-13",338719200,
"Total earnings","Kaipara district","Mar-13",47287900,
"Total earnings","Far North district","Dec-12",167784800,
"Total earnings","Far North district","Sep-12",154316200,
"Total earnings","Far North district","Jun-12",159337900,
"Total earnings","Far North district","Mar-12",155863200,
"Total earnings","Far North district","Dec-11",161416400,
"Total earnings","Far North district","Sep-11",152864600,
"Total earnings","Far North district","Jun-11",157276000,
"Total earnings","Far North district","Mar-11",152283400,
"Total earnings","Masterton district","Mar-13",91662900,
"Total earnings","Carterton district","Mar-13",25207200,
"Total earnings","South Wairarapa district","Mar-13",27655500,
"Total earnings","Tasman district","Mar-13",167634800,
"Total earnings","Nelson city","Mar-13",255288100,
"Total earnings","Marlborough district","Mar-13",206084000,
"Total earnings","Kaikoura district","Mar-13",13679300,
"Total earnings","Buller district","Mar-13",66018000,
"Total earnings","Grey district","Mar-13",72028200,
"Total earnings","Westland district","Mar-13",37396600,
"Total earnings","Hurunui district","Mar-13",37695200,
"Total earnings","Waimakariri district","Mar-13",120033700,
"Total earnings","Christchurch city (modified)","Mar-13",2195435600,
"Total earnings","Selwyn district","Mar-13",161973200,
"Total earnings","Ashburton district","Mar-13",166347700,
"Total earnings","Timaru district","Mar-13",222286400,
"Total earnings","Mackenzie district","Mar-13",18940900,
"Total earnings","Waimate district","Mar-13",21390800,
"Total earnings","Waitaki district","Mar-13",102520500,
"Total earnings","Central Otago district","Mar-13",90744000,
"Total earnings","Queenstown-Lakes district","Mar-13",160827700,
"Total earnings","Dunedin city","Mar-13",576830100,
"Total earnings","Clutha district","Mar-13",78226000,
"Total earnings","Southland district","Mar-13",156800800,
"Total earnings","Gore district","Mar-13",61581700,
"Total earnings","Invercargill city","Mar-13",280584800,
"Total earnings","Clutha district","Dec-12",77159400,
"Total earnings","Southland district","Dec-12",156989900,
"Total earnings","Gore district","Dec-12",66136700,
"Total earnings","Invercargill city","Dec-12",294005000,
"Total earnings","Queenstown-Lakes district","Dec-12",160188900,
"Total earnings","Dunedin city","Dec-12",620077900,
"Total earnings","Waitaki district","Dec-12",101427300,
"Total earnings","Central Otago district","Dec-12",85846600,
"Total earnings","Ashburton district","Dec-12",169385700,
"Total earnings","Timaru district","Dec-12",231343200,
"Total earnings","Mackenzie district","Dec-12",18809400,
"Total earnings","Waimate district","Dec-12",21953700,
"Total earnings","Christchurch city (modified)","Dec-12",2327177700,
"Total earnings","Selwyn district","Dec-12",175222600,
"Total earnings","Hurunui district","Dec-12",38111700,
"Total earnings","Waimakariri district","Dec-12",127261000,
"Total earnings","Kaikoura district","Dec-12",13882500,
"Total earnings","Buller district","Dec-12",65607600,
"Total earnings","Grey district","Dec-12",92447100,
"Total earnings","Westland district","Dec-12",38244300,
