Usual residence,Far North District,Whangarei District,Kaipara District,Auckland,Thames-Coromandel District,Hauraki District,Waikato District,Matamata-Piako District,Hamilton City,Waipa District,Otorohanga District,South Waikato District,Waitomo District,Taupo District,Western Bay of Plenty District,Tauranga City,Rotorua District,Whakatane District,Kawerau District,Opotiki District,Gisborne District,Wairoa District,Hastings District,Napier City,Central Hawke's Bay District,New Plymouth District,Stratford District,South Taranaki District,Ruapehu District,Wanganui District,Rangitikei District,Manawatu District,Palmerston North City,Tararua District,Horowhenua District,Kapiti Coast District,Porirua City,Upper Hutt City,Lower Hutt City,Wellington City,Masterton District,Carterton District,South Wairarapa District,Tasman District,Nelson City,Marlborough District,Kaikoura District,Buller District,Grey District,Westland District,Hurunui District,Waimakariri District,Christchurch City,Selwyn District,Ashburton District,Timaru District,Mackenzie District,Waimate District,Chatham Islands Territory,Waitaki District,Central Otago District,Queenstown-Lakes District,Dunedin City,Clutha District,Southland District,Gore District,Invercargill City,Northland Region Not Further Defined,Auckland Region Not Further Defined,Waikato Region Not Further Defined,Bay of Plenty Region Not Further Defined,Gisborne Region Not Further Defined,Hawke's Bay Region Not Further Defined,Taranaki Region Not Further Defined,Manawatu-Wanganui Region Not Further Defined,Wellington Region Not Further Defined,West Coast Region Not Further Defined,Canterbury Region Not Further Defined,Otago Region Not Further Defined,Southland Region Not Further Defined,Tasman Region Not Further Defined,Nelson Region Not Further Defined,Marlborough Region Not Further Defined,No Fixed Workplace Address,New Zealand Not Further Defined,Area Outside Territorial Authority,Total workplace address
Central Otago District,21,6,..C,84,..C,..C,6,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,6,..C,6,..C,..C,..C,..C,..C,6,45,6,6,6,6,..C,..C,45,7674,423,171,36,15,9,39,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,36,..C,..C,..C,..C,48,921,..C,9729
Queenstown-Lakes District,21,15,..C,159,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,12,12,..C,..C,..C,..C,..C,6,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,9,33,..C,..C,..C,..C,12,15,..C,..C,..C,12,..C,6,93,12,..C,9,12,..C,..C,21,267,13977,168,9,72,6,54,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,72,..C,..C,..C,..C,96,1425,..C,16704
Dunedin City,123,84,18,699,12,9,9,6,60,15,..C,15,..C,6,6,30,12,9,..C,..C,9,..C,24,21,6,18,..C,6,9,..C,..C,6,30,..C,12,9,..C,12,21,138,..C,..C,..C,27,21,18,..C,33,12,9,15,12,294,30,33,36,15,6,..C,510,114,102,47997,483,57,24,90,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,180,6,..C,..C,..C,231,4182,..C,56025
Clutha District,15,9,9,42,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,33,9,..C,..C,..C,..C,..C,18,48,15,498,6846,21,171,33,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,99,6,..C,..C,..C,48,870,..C,8880
Southland District,18,..C,..C,99,..C,..C,6,..C,6,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,12,..C,..C,..C,..C,6,6,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,12,..C,42,9,..C,9,..C,..C,..C,6,12,60,33,27,11778,411,2151,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,144,..C,..C,..C,87,1440,..C,16503
Gore District,9,12,15,33,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,..C,..C,..C,..C,12,12,27,78,312,4647,174,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,45,..C,..C,..C,21,591,..C,6090
Invercargill City,27,45,9,198,..C,..C,6,..C,15,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,9,6,..C,12,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,30,..C,..C,..C,9,9,9,..C,..C,..C,..C,..C,6,99,18,9,15,..C,..C,..C,18,27,48,78,12,1764,192,20295,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,162,..C,..C,..C,93,2157,..C,25488
Area Outside Territorial Authority,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,21
"Total, usual residents",19518,30474,6960,592548,10008,5952,16623,13521,67203,16347,3834,7515,3948,13560,13899,48099,25899,11529,2268,2841,16278,2805,31848,21498,5430,32529,3324,12303,5196,15519,5454,9009,39720,6648,9132,13029,14091,10545,37176,127464,9822,2997,3543,17754,22905,19275,1683,4785,5976,3720,4980,14304,176061,15642,15006,20091,2097,2652,336,9138,9045,14982,49710,7578,14286,5526,23034,423,3765,1263,846,213,684,363,276,1758,105,2124,525,393,99,270,114,8412,170820,87,2001006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Confidentiality rules have been applied to all cells in this table, including randomly rounding to base 3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
..C ,Data confidentalised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Statistics New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
